architecture,dataset,noise,alpha,run_id,loss,prefix_length,sampling_strategy,train_accuracy,test_accuracy,train_distance,test_distance,train_similarity_scaled,test_similarity_scaled,train_satisfiability,test_satisfiability,nr_epochs,training_time
LSTM,BPIC_2013_closed,10,0.05,5,GLL,2,greedy,0.9522066355,0.922670722,1.1,0.5789473684,0.8449102594,0.9228955486,0.9542372823,1.0,538,277.4487736081
LSTM,BPIC_2013_closed,10,0.05,5,GLL,3,temperature,0.9522066355,0.922670722,0.5457627119,0.3684210526,0.9372367324,0.9579832679,0.8711864352,1.0,538,277.4487736081
LSTM,BPIC_2013_closed,10,0.05,5,GLL,3,greedy,0.9522066355,0.922670722,0.5508474576,0.3684210526,0.9364296299,0.9579832679,0.8711864352,1.0,538,277.4487736081
LSTM,BPIC_2013_closed,10,0.05,5,LLL,1,temperature,0.9695854545,0.9746334702,1.7966101695,1.5745614035,0.7330963587,0.7850007564,0.9745762348,0.9912281036,564,29.5647391323
LSTM,BPIC_2013_closed,10,0.05,5,LLL,1,greedy,0.9695854545,0.9746334702,1.3779661017,0.8464912281,0.7781045457,0.8740461774,0.9779660702,1.0,564,29.5647391323
LSTM,BPIC_2013_closed,10,0.05,5,LLL,2,temperature,0.9695854545,0.9746334702,0.9237288136,0.5614035088,0.8843566795,0.9394804705,0.9508474469,0.9956140518,564,29.5647391323
LSTM,BPIC_2013_closed,10,0.05,5,LLL,2,greedy,0.9695854545,0.9746334702,0.7644067797,0.4210526316,0.8975974606,0.9524353154,0.9542372823,1.0,564,29.5647391323
LSTM,BPIC_2013_closed,10,0.05,5,LLL,3,temperature,0.9695854545,0.9746334702,0.6271186441,0.4122807018,0.9340970815,0.9599091442,0.8694915175,1.0,564,29.5647391323
LSTM,BPIC_2013_closed,10,0.05,5,LLL,3,greedy,0.9695854545,0.9746334702,0.5118644068,0.2763157895,0.945233384,0.9746568964,0.8711864352,1.0,564,29.5647391323
LSTM,BPIC_2013_closed,10,0.05,6,baseline,1,temperature,0.9746683776,0.9724633396,1.7288135593,1.1842105263,0.727478899,0.8061686845,0.8745762706,0.8859649301,1584,53.3813226926
LSTM,BPIC_2013_closed,10,0.05,6,baseline,1,greedy,0.9746683776,0.9724633396,1.3474576271,0.8464912281,0.7842714814,0.8740461774,0.9728813171,1.0,1584,53.3813226926
LSTM,BPIC_2013_closed,10,0.05,6,baseline,2,temperature,0.9746683776,0.9724633396,0.9186440678,0.6929824561,0.8817713117,0.921909013,0.8372881413,0.9561403394,1584,53.3813226926
LSTM,BPIC_2013_closed,10,0.05,6,baseline,2,greedy,0.9746683776,0.9724633396,0.7,0.4210526316,0.9094854078,0.9524353154,0.9016948938,1.0,1584,53.3813226926
LSTM,BPIC_2013_closed,10,0.05,6,baseline,3,temperature,0.9746683776,0.9724633396,0.613559322,0.3903508772,0.9434852333,0.9623265124,0.8135592937,0.9780701995,1584,53.3813226926
